scaling_method,root_age
mbl,260.899177126652
mbl,260.594796040468
mbl,261.476365220053
mbl,261.886603096307
mbl,260.509852557075
mbl,260.88007484135
mbl,261.320226547681
mbl,261.196307348993
mbl,261.347320801709
mbl,261.70415307112
mbl,258.336985449197
mbl,257.924788540099
mbl,257.200351753202
mbl,257.665349951643
mbl,258.202514185887
mbl,257.605467311526
mbl,257.474936671136
mbl,257.462354305517
mbl,258.554257694921
mbl,257.329518997157
mbl,259.916944691394
mbl,259.331745863515
mbl,260.92053602132
mbl,261.453752106181
mbl,259.395899370085
mbl,259.341800031161
mbl,260.050050754759
mbl,259.336322859991
mbl,260.464648452636
mbl,261.516394390101
mbl,258.006889451577
mbl,258.955726260548
mbl,258.017133793819
mbl,258.335332355769
mbl,257.760159722716
mbl,258.328710466942
mbl,259.054030266548
mbl,257.881424805566
mbl,257.984735796885
mbl,257.713820767945
mbl,254.214010491022
mbl,254.083009276025
mbl,254.304634728874
mbl,254.507213645827
mbl,254.053314021518
mbl,254.487840342131
mbl,253.829586761119
mbl,254.089240266797
mbl,253.969235820658
mbl,254.534136038141
mbl,258.990707057251
mbl,259.352965661073
mbl,259.814140372761
mbl,258.783865370767
mbl,259.186119436615
mbl,259.395585155119
mbl,259.226531594433
mbl,258.553750045344
mbl,258.929496355667
mbl,259.155261445716
mbl,258.515610941334
mbl,256.668207554328
mbl,257.289483759615
mbl,257.793988422735
mbl,257.641542359204
mbl,257.382709179355
mbl,257.279364493475
mbl,257.087207520795
mbl,256.42107542251
mbl,257.72040944553
mbl,260.144097732319
mbl,258.576731073787
mbl,259.582610613827
mbl,258.868234941748
mbl,260.046857689498
mbl,258.845454346864
mbl,259.146522817172
mbl,261.847294586422
mbl,260.43829289102
mbl,259.963420714191
mbl,256.035479206629
mbl,255.507144229033
mbl,255.575036653325
mbl,255.690682604625
mbl,255.84320151994
mbl,256.640740113743
mbl,256.524253651344
mbl,255.218675204134
mbl,256.457123986911
mbl,256.716097580642
mbl,260.30204830874
mbl,261.090233244011
mbl,262.265789308872
mbl,261.784441812455
mbl,261.70295693004
mbl,260.619862987776
mbl,260.918969791597
mbl,260.368281437075
mbl,260.903720319162
mbl,260.577396664524
mbl,261.198036607464
mbl,261.373572114548
mbl,261.96076097813
mbl,261.934775822307
mbl,262.106403122817
mbl,261.286078956197
mbl,262.387619265043
mbl,260.573668724089
mbl,261.85173842354
mbl,260.69705419777
mbl,259.589851801097
mbl,259.6873657485
mbl,259.630697611766
mbl,259.401153852511
mbl,259.374067630097
mbl,259.325634370954
mbl,259.679373260983
mbl,259.667559131677
mbl,259.565559225786
mbl,259.447799756587
mbl,258.921850444835
mbl,258.703220935429
mbl,258.350318895194
mbl,258.908448606327
mbl,258.018203020585
mbl,259.401892583536
mbl,258.100818967784
mbl,257.548876714909
mbl,258.190428409604
mbl,258.218873129138
mbl,263.379533411004
mbl,263.496949292021
mbl,262.676391430316
mbl,263.712725521363
mbl,267.747547509428
mbl,264.111471250304
mbl,263.501487529906
mbl,263.903932675952
mbl,264.192440469516
mbl,266.487398283435
mbl,258.343103535585
mbl,258.435785363086
mbl,258.917631579922
mbl,258.387240641241
mbl,258.94494084819
mbl,259.249207880672
mbl,258.628850318897
mbl,259.333811676986
mbl,257.521724490083
mbl,258.370761371218
mbl,257.674227055111
mbl,257.565649307105
mbl,258.965192484732
mbl,259.565361618451
mbl,259.504542960713
mbl,259.403046019222
mbl,258.188249340998
mbl,257.632208010885
mbl,257.795163746004
mbl,258.068366956594
mbl,261.089770831512
mbl,260.602922908775
mbl,260.451828398905
mbl,261.493398996545
mbl,260.461804115376
mbl,260.491722446564
mbl,260.547449354362
mbl,260.362243025261
mbl,260.257178302552
mbl,260.57767182535
mbl,261.603992707103
mbl,261.413640947831
mbl,262.240985627298
mbl,262.778236573541
mbl,262.08138893004
mbl,262.613314317956
mbl,262.991959198785
mbl,262.52996025997
mbl,261.584021206549
mbl,263.46676915694
mbl,260.944824046683
mbl,259.584086398063
mbl,259.833101555486
mbl,261.216538768623
mbl,260.42466004167
mbl,260.266326399471
mbl,259.753663328055
mbl,260.869569020318
mbl,261.286276080622
mbl,260.462460934492
mbl,257.782843418652
mbl,258.34976184007
mbl,257.661281560739
mbl,257.761841105474
mbl,258.21977306243
mbl,257.38429095594
mbl,256.339290225001
mbl,258.135453788731
mbl,258.758588323407
mbl,258.214543188235
mbl,262.621089092619
mbl,262.640752589027
mbl,262.594446534105
mbl,262.460466717184
mbl,262.499770031939
mbl,262.675704459823
mbl,262.464519139659
mbl,262.294782613567
mbl,262.546278570592
mbl,262.68928890063
mbl,260.602303794688
mbl,262.155768625832
mbl,262.212740845778
mbl,260.32315413561
mbl,262.126187789056
mbl,261.973386024123
mbl,261.172881228845
mbl,262.50744486836
mbl,261.690705290528
mbl,261.820733982376
mbl,259.959077141145
mbl,258.570088633772
mbl,259.509501977332
mbl,260.104012991756
mbl,259.810996383219
mbl,259.557298849251
mbl,258.82539844342
mbl,259.460275366607
mbl,260.363255601858
mbl,260.031313911832
mbl,259.651340105967
mbl,259.351490139309
mbl,259.634329118696
mbl,259.342549209413
mbl,259.650359413633
mbl,259.415282593854
mbl,259.54209496004
mbl,259.523756438331
mbl,259.501300390041
mbl,259.216426794231
mbl,258.015845560578
mbl,258.908830034658
mbl,257.839547688588
mbl,257.41216267976
mbl,257.887725164506
mbl,258.893093220526
mbl,257.884665812084
mbl,258.678891921027
mbl,257.6342557558
mbl,258.014079068881
mbl,261.507424922194
mbl,261.277434183378
mbl,259.736476675468
mbl,260.12317643771
mbl,262.038383150753
mbl,261.610252641467
mbl,262.167501244135
mbl,260.224111204857
mbl,260.934206793923
mbl,261.511478970526
mbl,259.483323192969
mbl,259.376417765091
mbl,259.675301151052
mbl,259.238313809433
mbl,259.523448908515
mbl,259.597718892083
mbl,259.386617470346
mbl,259.212368287775
mbl,259.690627337829
mbl,259.884707783419
mbl,259.544806642388
mbl,259.425401856937
mbl,259.718403438919
mbl,259.385115739354
mbl,259.375325769582
mbl,259.379198109894
mbl,259.765704404288
mbl,259.966862556797
mbl,259.604742883984
mbl,259.54508497559
mbl,258.765601935866
mbl,259.013402805054
mbl,259.688222799636
mbl,259.173732603434
mbl,259.336303269891
